supermarket,product_code,category,name,price,lastUpdate,subcategory
Alcampo,676031,29,PROACTIV Materia grasa para untar vegetal 59% con esteroles y sabor a mantequilla 225 g.,"2,94",1742774062.857049,estandar
Alcampo,676011,29,PRO ACTIV Materia grasa para untar vegetal 35% con esteroles 225 g.,"3,00",1742774062.857178,estandar
Alcampo,450536,29,FLORA Materia grasa para untar vegetal 59%  225 g.,"1,94",1742774062.857316,estandar
Alcampo,221738,29,Materia grasa para untar vegetal 20% 450 g.,"1,42",1742774062.857443,estandar
Alcampo,718099,29,TULIPÁN Materia grasa para untar vegetal 59% con sal 225 g.,"1,49",1742774062.857561,estandar
Alcampo,742272,29,TULIPÁN Materia grasa para untar 79% plantequilla 200 gr.,"2,05",1742774062.857693,estandar
Alcampo,861232,29,NATURLI Untable Spread ecológico 225 g.,"3,66",1742774062.857826,estandar
Alcampo,450555,29,"TULIPÁN Materia grasa para untar vegetal 59%, con sal 900 g.","4,59",1742774062.857957,estandar
Alcampo,742270,29,TULIPÁN Materia grasa para untar vegetal 79% con sal plantequilla 200 gr.,"2,05",1742774062.858086,estandar
Alcampo,50337,29,HOLLAND Tarrina de margarina vegetal HOLLAND 1000 g.,"4,79",1742774062.858218,estandar
Alcampo,947911,29,NATACHA Tarrina de materia grasa fácil de untar 20% con sal 450 g.,"1,54",1742774062.858331,estandar
Alcampo,517418,29,PULEVA Margarina con aceite de oliva 60% 250 g.,"2,94",1742774062.858454,estandar
Alcampo,99140,29,WILLOW Materia grasa para untar mix 77% con mantequilla pastilla 250 g.,"1,59",1742774062.858577,estandar
Alcampo,893414,29,LUXMAR Materia grasa con un 38% 225 g.,"1,28",1742774062.858703,estandar
Alcampo,893442,29,Materia grasa para untar 70% natural 225 g.,"1,45",1742774062.858824,estandar
Alcampo,893384,29,"Materia grasa para untar 55%, con sal 225 g.","1,45",1742774062.858941,estandar
Alcampo,676039,29,"PROACTIV Materia grasa para untar 59%, con esteroles y sabor a mantequilla 450 g.","4,75",1742774062.859048,estandar
Alcampo,51662,29,ARTUA Materia grasa para untar de maíz 55% vegetal y sin lactosa 250 g.,"1,99",1742774062.859153,Sin lactosa
Alcampo,51160,29,"COVADONGA Crema mantequilla / margarina, elaborada en Asturias y enriquecida con vitaminas A, D y E COVADONGA 500 g.","3,99",1742774062.859257,estandar
Alcampo,51128,29,HOLLAND Tarrina de margarina vegetal HOLLAND 500 g.,"2,49",1742774062.859361,estandar
Alcampo,89636,29,DELÍNEA Materia grasa para untar 54% rica en Omega 3 500 g.,"2,99",1742774062.859464,estandar
Alcampo,947912,29,"TULIPÁN Plantequilla, materia grasa vegetal para untar (79%) 250 g.","2,14",1742774062.859568,estandar
Alcampo,495684,29,"ARIAS Tarrina de materia grasa 20%  ligera y fácil de untar, con sal marina 235 g.","3,25",1742774062.859671,estandar
Alcampo,53688,29,AUCHAN Nata líquida (35% materia grasa) para montar 200 ml. Producto Alcampo,"0,79",1742774063.438655,estandar
Alcampo,52497,29,AUCHAN Nata líquida (35% materia grasa) para montar 500 ml. Producto Alcampo,"1,99",1742774063.4391,estandar
Alcampo,518737,29,CENTRAL LECHERA ASTURIANA Nata líquida (38 % de materia grasa y 100% natural) para montar CENTRAL LECHERA ASTURIANA 500 ml.,"2,52",1742774063.439485,estandar
Alcampo,573626,29,"CENTRAL LECHERA ASTURIANA Nata líquida (38 % de materia grasa) para montar, sin lactosa CENTRAL LECHERA ASTURIANA 200 ml.","1,30",1742774063.43967,Sin lactosa
